date,fang,sox,sp500,orkan
2026-07-07,94387,50162,44920,38532
2026-07-08,,,,
2026-07-09,,,,
2026-07-10,94813,49021,44704,38161
2026-07-11,95596,50396,44958,38334
2026-07-12,95596,50396,44958,38334
2026-07-13,95596,50396,44958,38334
2026-07-14,95905,50420,45148,38432
2026-07-15,95179,48073,44848,38197
2026-07-16,96252,49245,44970,38335
2026-07-17,97340,48235,45158,38526
2026-07-20,95884,46250,45008,38338
2026-07-21,95884,46250,45008,38338
2026-07-22,94556,45777,44479,37913
2026-07-23,95920,48358,45055,38413
2026-07-24,94864,48544,44970,38412
2026-07-27,93562,48545,44669,38243
2026-07-28,92689,46388,44607,38160
2026-07-29,93227,45389,44650,38183
2026-07-30,92422,43318,44708,38091
2026-07-31,90759,40968,43982,37626
2026-08-03,91805,43564,43950,37521
2026-08-04,90492,42266,42902,36824
2026-08-05,94037,43158,43994,37510
2026-08-06,98254,46027,44821,38095
2026-08-07,97877,45449,44813,38227
2026-08-11,99524,46820,45066,38395
2026-08-12,99524,46820,45066,38395
2026-08-13,99640,46249,45301,38676
2026-08-14,99084,47403,45424,38798
2026-08-17,101036,47626,45727,39019
2026-08-18,99867,47383,45565,38927
2026-08-19,99265,48282,45443,38868
2026-08-20,97888,45856,45111,38525
2026-08-21,97884,44617,44940,38358
2026-08-24,97970,45041,44740,38381
2026-08-25,98161,44719,44843,38527
2026-08-26,97668,43629,44836,38471
2026-08-27,98212,44232,44953,38605
