date,newnisa_orkan,tesla
2026-08-07,19818.00,319.53
2026-08-10,19857.00,328.58
2026-08-11,19906.00,330.88
2026-08-12,19906.00,332.81
2026-08-13,20051.00,327.51
2026-08-14,20115.00,339.96
2026-08-17,20229.00,342.27
2026-08-18,20182.00,339.30
2026-08-19,20151.00,336.87
2026-08-20,19972.00,351.12
2026-08-21,19887.00,345.13
2026-08-24,19898.00,362.86
2026-08-25,19973.00,348.95
2026-08-26,19944.00,350.25
2026-08-27,20014.00,345.82
2026-08-28,20027.00,354.81
2026-08-31,20138.00,348.75
2026-09-01,20170.00,367.95
2026-09-02,20091.00,356.09
2026-09-03,20004.00,357.01
2026-09-04,19850.00,376.37
2026-09-07,19673.00,354.08
2026-09-08,19702.00,354.08
2026-09-09,19458.00,368.16
2026-09-10,19368.00,367.81
2026-09-11,19272.00,363.56
2026-09-14,19245.00,365.44
2026-09-15,19220.00,358.97
2026-09-16,19225.00,356.58
2026-09-17,19213.00,358.08
2026-09-18,19266.00,366.20
